Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Day_of_Week,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,2nd_Road_Number,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location,DateVals,TimeVals
200701FH66367,525140,177140,-0.199333,51.479329,3,2,1,5,11,E09000013,3,304,6,30,0,0,0,1,1,1,1,1,E01001953,971,1124
200701FH66521,524990,176360,-0.201768,51.472352,2,2,1,6,11,E09000013,3,308,6,30,3,0,0,1,1,1,1,1,E01001926,944,552
200701FH67033,524070,176720,-0.214881,51.47579,2,2,1,5,11,E09000013,3,219,6,30,3,0,0,4,1,1,1,1,E01001905,985,1214
200701FH67110,525740,176140,-0.191053,51.470209,2,3,1,5,11,E09000013,6,0,6,30,3,217,0,1,1,1,1,1,E01001937,992,529
200701FH67530,522970,180870,-0.229267,51.513328,3,2,2,5,11,E09000013,6,0,6,30,3,0,0,1,1,1,1,1,E01001957,1020,899
200701FH67664,524320,177530,-0.210998,51.483015,2,1,1,4,11,E09000013,3,3218,6,30,0,0,0,4,1,1,1,1,E01001903,1012,1321
200701FH67665,522580,180660,-0.234958,51.511525,3,2,2,5,11,E09000013,5,0,6,30,3,0,1,1,1,1,1,1,E01001955,1020,509
200701FH67716,525280,177980,-0.197021,51.486848,2,3,1,4,11,E09000013,3,3218,6,30,0,0,0,4,1,1,1,1,E01001883,1019,1169
200701FH67725,524860,177900,-0.203095,51.486221,2,1,1,3,11,E09000013,4,317,6,30,3,0,0,1,1,1,1,1,E01001909,1032,854
200701FH67854,523500,179570,-0.222088,51.501529,3,2,2,3,11,E09000013,3,219,6,30,0,0,4,4,1,1,1,1,E01001854,1046,1213
